Control,Sham ,Vehicle,SFN,SFN-NPs
0.7966,0.9732,1.117363257,0.816206236,1.076305139
1.1091,1.0723,0.857291482,0.912937326,0.869530826
0.9994,1.1292,0.903332766,0.894708565,0.720493677
1.0845,0.9123,0.958723619,0.692801179,1.035020876
1.0104,0.8712,1.018147587,0.95344499,0.791204056
,,,,
1.1240,0.9684,0.915692885,0.892030288,0.809808663
0.9806,1.1083,0.893421793,0.912251765,0.842468547
1.0116,1.0698,0.789310944,0.815685806,0.7054254
0.9898,1.0610,0.830496736,0.928948909,0.574839185
0.8940,1.2641,0.916501246,1.113504859,0.823922103
,,,,
1.0788,1.0061,0.849292162,1.253870146,0.871343489
1.0916,0.9330,1.053218846,0.925178592,0.796467906
0.7052,0.9546,1.059831919,1.080004755,0.836163152
1.0694,0.9647,0.837312462,0.971735975,0.712195944
1.0550,0.8857,0.860517001,0.902562144,0.89325885
,,,,
1.0771,1.1117,1.13479781,0.937041302,1.060505985
0.9760,0.8638,0.8896029,0.667686375,0.794896735
0.9289,1.0203,0.957470663,1.030753047,0.745932271
1.0714,0.9486,0.876284183,0.968660223,0.950197481
0.9466,1.0634,0.9364513,0.997417506,1.037733998
,,,,
0.6620,0.6140,0.4944,0.7267,0.5672
0.8540,0.6721,0.4222,0.5593,0.7481
0.6774,0.6010,0.4821,0.4901,0.7953
0.7874,0.5434,0.5528,0.5203,0.6851
0.6667,0.5152,0.3817,0.5660,0.6426
,,,,
0.5809,0.5851,0.7992,0.5988,0.6689
0.5489,0.5571,0.7150,0.9033,0.7517
0.5388,0.5437,0.4568,0.8637,0.6472
0.5628,0.5486,0.4668,0.5410,0.6832
0.5023,0.4964,0.4885,0.5125,0.6849
,,,,
0.7403,0.6371,0.7959,0.8211,0.7826
0.5766,0.6080,0.5371,0.7372,0.8523
0.5429,0.6304,0.4699,0.6697,0.7608
0.6197,0.4784,0.5110,0.6566,0.5600
0.5672,0.5180,0.4127,0.6380,0.7136
,,,,
0.5884,0.4579,0.5063,0.8922,0.7951
0.7570,0.4394,0.5654,0.5845,0.6863
0.7131,0.5769,0.4920,0.8205,0.6781
0.7019,0.5136,0.5561,0.8989,0.8193
0.6711,0.6675,0.4155,0.9365,0.7448
