Control,Sham ,Vehicle,SFN,SFN-NPs
10.474,11.002,11.888,11.113,9.973
9.842,11.728,13.34,10.438,8.361
11.486,10.346,8.961,11.649,8.664
11.058,9.883,12.424,10.354,8.838
8.794,11.451,14.406,10.666,8.582
,,,,
10.801,10.163,10.546,10.572,9.009
10.307,9.95,11.073,9.807,8.911
9.166,11.298,10.272,10.748,9.668
10.961,10.863,9.896,10.754,8.731
9.95,10.912,11.47,9.595,9.595
,,,,
10.378,10.163,9.624,9.253,10.455
10.228,11.392,9.245,11.234,9.215
10.353,9.496,10.444,11.301,8.248
8.697,10.961,8.494,10.165,9.316
11.529,11.167,8.857,11.343,8.219
,,,,
9.664,10.202,10.453,10.262,8.751
9.51,9.664,13.645,9.973,9.041
10.41,10.397,11.428,10.302,8.751
10.307,9.51,10.936,9.189,10.704
10.863,9.95,10.484,11.384,10.274
,,,,
17.841,18.722,17.671,10.748,8.778
19.875,16.664,17.366,10.83,11.343
19.196,17.65,17.579,11.913,9.807
16.213,15.487,17.406,9.807,9.955
16.099,19.22,17.366,8.582,9.354
,,,,
16.789,18.627,17.46,10.165,7.696
18.467,20.894,16.099,10.572,9.221
18.966,19.827,17.029,8.751,8.233
19.094,16.623,18.791,10.754,8.884
17.3,17.813,17.029,10.455,9.735
,,,,
20.44,19.241,17.333,9.01,10.704
19.447,16.246,16.834,10.049,11.265
18.068,18.818,16.5,11.774,8.884
19.379,19.212,15.841,9.064,8.884
18.704,18.254,16.052,10.454,9.595
,,,,
18.2,16.557,16.699,10.416,10.262
17.192,18.794,18.341,10.666,9.472
19.182,15.338,16.035,10.748,10.884
18.938,14.984,18.404,9.698,10.622
19.801,14.317,17.366,8.731,10.754
